time_s,event_type,frame_id,x_m,y_m,z_m,battery_percent,mission_state,planned_x_m,planned_y_m,planned_z_m,path_deviation_m,safety_status,severity,recommended_action,supervisor_mode,active_response,response_reason,detail
19.63,ENTERED_WARNING,local_enu,47.0,8.0,20.0,98.1,WAYPOINT_2,47.0,8.0,20.0,0.0,GEOFENCE_WARNING,WARNING,WARNING,WARNING_ACTIVE,MONITOR,GEOFENCE_WARNING,"Position (47.0, 8.0) is within 5.0 m of geofence"
20.59,CLEARED_EVENT,local_enu,42.89,10.44,19.78,97.99,WAYPOINT_3,42.89,10.44,19.78,0.0,SAFE,INFO,CONTINUE,CONTINUE_MISSION,NONE,No supervisor action active,All monitored constraints satisfied
