time_s,event_type,frame_id,x_m,y_m,z_m,battery_percent,mission_state,safety_status,severity,recommended_action,supervisor_mode,active_response,response_reason,detail
31.44,ENTERED_VIOLATION,px4_local_ned_fault_injected,60.0,0.0,1.65,100.0,PX4_FAULT_GEOFENCE_TEST,GEOFENCE_VIOLATION,CRITICAL,RETURN_TO_HOME,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,"Position (60.0, 0.0) outside geofence"
37.9,CLEARED_EVENT,px4_local_ned_converted,0.05,-0.05,1.63,100.0,PX4_TELEMETRY,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,GEOFENCE_VIOLATION,All monitored constraints satisfied
