time_s,event_type,frame_id,x_m,y_m,z_m,battery_percent,mission_state,safety_status,severity,recommended_action,supervisor_mode,active_response,response_reason,detail
20.0,ENTERED_VIOLATION,local_enu,24.0,12.0,20.0,98.53,WAYPOINT_2,STATE_TIMEOUT,CRITICAL,RETURN_TO_HOME,RETURNING_HOME,RETURN_TO_HOME,STATE_TIMEOUT,State update gap 5.0 s exceeds 2.0 s
20.89,CLEARED_EVENT,local_enu,20.0,10.0,20.0,98.43,RESPONSE_RETURN_HOME,SAFE,INFO,CONTINUE,RETURNING_HOME,RETURN_TO_HOME,STATE_TIMEOUT,All monitored constraints satisfied
